,hospital_overall_rating,emergency_services,hospital_type,mortality_national_comparison,safety_of_care_national_comparison,readmission_national_comparison,patient_experience_national_comparison,effectiveness_of_care_national_comparison,timeliness_of_care_national_comparison
508,2.0,True,1,2,2,3,2,2,2
509,4.0,False,1,4,1,4,1,2,4
510,3.0,True,1,2,2,2,2,1,2
511,2.0,True,1,2,2,2,3,2,3
512,1.0,True,1,2,3,2,3,2,3
513,4.0,True,1,2,1,1,1,1,2
514,3.0,True,1,1,1,3,3,2,3
515,,True,3,4,2,4,4,4,4
516,2.0,True,1,2,2,2,3,1,2
517,2.0,True,1,2,2,2,3,3,1
518,4.0,True,1,2,1,2,1,1,1
519,2.0,True,1,3,1,3,3,2,3
520,4.0,True,1,1,1,2,1,1,1
521,3.0,True,2,2,4,2,4,2,2
522,3.0,True,2,2,4,2,2,2,1
523,4.0,True,1,2,2,2,1,2,2
524,3.0,True,1,2,2,2,2,1,2
525,3.0,True,1,4,2,4,2,2,4
526,4.0,True,1,2,1,2,1,1,1
527,,True,2,4,4,4,4,4,4
528,3.0,True,1,4,2,4,1,2,4
529,2.0,True,1,2,3,3,3,1,3
530,4.0,True,1,2,2,1,2,2,3
531,2.0,True,1,2,2,2,3,2,3
532,2.0,True,1,4,4,2,3,2,2
533,4.0,True,2,2,2,2,1,2,4
534,3.0,True,1,2,2,2,1,2,2
535,2.0,True,1,3,1,3,2,1,2
536,3.0,True,1,2,4,2,2,2,1
537,,True,1,4,4,4,4,4,4
538,2.0,True,1,1,2,3,3,2,3
539,3.0,True,1,2,3,1,2,2,3
540,3.0,True,1,4,2,2,3,2,4
541,3.0,True,1,4,2,4,3,1,4
542,3.0,True,1,2,1,1,2,1,2
543,,False,3,4,4,4,4,4,4
544,2.0,True,2,2,4,2,1,4,4
545,2.0,True,1,2,2,3,3,1,1
546,3.0,True,1,3,1,2,3,1,3
547,3.0,True,1,1,3,1,3,2,2
548,3.0,True,1,2,1,3,3,3,3
549,3.0,True,1,1,2,3,3,1,1
550,5.0,False,1,1,1,2,4,2,4
551,2.0,True,1,2,3,3,1,2,2
552,3.0,True,1,2,2,2,1,2,2
553,1.0,True,1,3,3,3,3,2,3
554,3.0,True,1,4,2,4,3,2,4
555,2.0,True,1,1,2,3,2,3,2
556,3.0,True,2,2,2,2,2,2,4
557,2.0,True,1,2,2,2,3,2,1
558,3.0,True,1,2,4,2,4,2,1
559,3.0,True,1,2,2,2,2,3,2
560,,False,1,4,4,4,4,4,4
561,4.0,True,1,2,2,1,1,2,3
562,,True,2,4,4,4,4,4,4
563,,True,2,4,4,4,4,4,4
564,3.0,True,1,2,2,2,1,2,2
565,2.0,True,1,2,3,2,2,2,2
566,3.0,True,1,1,2,2,1,1,3
567,4.0,True,1,2,2,1,2,2,2
568,,True,2,4,4,4,4,3,1
569,2.0,True,1,2,1,2,3,2,3
570,2.0,True,1,2,3,3,3,1,3
571,2.0,True,1,2,3,3,3,2,3
572,4.0,True,1,4,2,2,1,2,1
573,3.0,True,1,2,2,2,2,2,2
574,3.0,True,1,3,2,2,2,1,2
575,3.0,True,1,2,1,1,3,2,3
576,,True,2,2,4,2,4,4,4
577,2.0,True,1,2,2,2,3,1,2
578,,True,1,4,4,4,4,3,1
579,3.0,True,1,2,3,2,3,2,3
580,2.0,True,1,2,2,3,2,1,3
581,4.0,True,1,4,2,4,2,1,4
582,3.0,True,1,1,1,3,3,2,2
583,,True,2,4,4,4,4,4,2
584,3.0,True,1,3,1,2,3,1,3
585,2.0,True,1,2,3,1,3,3,2
586,,True,2,4,4,4,4,4,4
587,,False,1,4,2,4,4,2,4
588,2.0,True,1,2,3,1,3,3,2
589,2.0,True,1,3,2,2,3,2,1
590,2.0,True,1,2,3,3,3,1,3
591,3.0,True,1,2,3,2,2,1,3
592,3.0,True,1,2,1,2,3,3,2
593,4.0,True,1,1,3,1,3,3,3
594,3.0,True,1,2,2,2,1,1,4
595,,True,2,4,4,4,4,4,4
596,2.0,True,1,2,2,3,2,2,1
597,4.0,True,1,2,2,2,1,1,1
598,2.0,True,1,2,2,2,3,3,3
599,3.0,True,1,3,1,3,2,2,2
600,2.0,True,1,2,3,3,3,2,3
601,3.0,True,1,2,3,1,3,2,1
602,,False,1,4,4,4,4,2,4
603,,True,2,2,4,2,4,4,4
604,3.0,True,1,1,2,3,3,1,2
605,3.0,True,1,1,1,3,3,1,2
606,2.0,True,1,1,1,3,3,2,3
607,3.0,True,2,2,4,2,4,3,4
608,,True,3,4,4,4,4,4,4
609,3.0,True,1,3,2,1,2,3,3
610,4.0,True,1,1,1,1,3,1,2
611,2.0,True,1,1,1,3,3,2,1
612,2.0,True,1,1,3,3,2,3,3
613,,True,2,4,4,2,4,4,4
614,3.0,True,2,2,2,2,2,2,2
615,3.0,True,1,2,1,1,2,2,3
616,3.0,True,1,2,3,2,3,2,1
617,2.0,True,1,2,2,2,3,2,2
618,3.0,True,1,2,2,1,3,2,3
619,,True,2,4,4,4,2,4,4
620,3.0,True,1,2,4,2,2,3,1
621,3.0,True,2,2,4,2,2,2,1
622,2.0,True,1,2,3,2,3,1,2
623,3.0,True,1,2,2,3,2,1,1
624,3.0,True,1,2,1,3,2,1,2
625,4.0,True,1,2,2,1,2,1,2
626,3.0,True,1,1,3,3,3,2,3
627,3.0,True,1,4,2,4,2,2,4
628,2.0,True,1,2,3,1,3,2,3
629,3.0,True,1,2,2,2,3,1,1
630,3.0,True,1,2,2,2,2,3,3
631,2.0,True,1,2,1,3,3,1,3
632,5.0,True,1,4,1,1,1,2,2
633,,True,2,4,4,4,4,4,4
634,,True,2,4,4,4,4,4,4
635,3.0,True,1,2,2,3,1,3,1
636,2.0,True,1,2,3,2,3,1,3
637,3.0,True,1,2,2,2,3,1,1
638,3.0,True,1,2,2,2,2,2,2
639,3.0,True,1,2,1,3,3,2,3
640,4.0,True,1,1,1,1,3,2,3
641,,True,2,4,4,2,4,4,4
642,4.0,True,1,2,2,1,1,2,2
